There,are,two,end,users,namely,the,hotel,staff,(customer,service,representative),and,hotel,managers.,,,,,,,,,,,,,,,,,,,,,,,,,,
EX,VBP,CD,NN,NNS,RB,DT,NN,NN,NN,NN,NNS,CC,NN,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GM,GM,,,EM,EM,,,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,accept,reservations,for,the,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RM,RM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,Hotel,Management,Systems,objectives,is,to,provide,a,system,to,manage,a,hotel,that,has,increased,in,size,to,a,total,of,100,rooms,,,,,,,,,,,,,,,,
DT,NNP,NNP,NNPS,NNS,VBZ,TO,VB,DT,NN,TO,VB,DT,NN,WDT,VBZ,VBN,IN,NN,TO,DT,NN,IN,CD,NNS,,,,,,,,,,,,,,,,
,EM,EM,EM,,,,,,,,RS,,ES,,,,,,,,,,,AS,,,,,,,,,,,,,,,,
The,room,database,will,include,the,room,numbers,and,if,they,are,vacant,or,occupied.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,MD,VB,DT,NN,NNS,CC,IN,PRP,VBP,JJ,CC,JJ,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,AM,AM,,,,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
System,has,a,default,room,rate,that,is,adjustable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,DT,NN,NN,NN,WDT,VBZ,JJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracking,and,Selling,Food,System,tracks,all,meals,purchased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBG,CC,VBG,NNP,NNP,VBZ,DT,NNS,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,EM,EM,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,record,payment,and,payment,type,for,meals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,CC,NN,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,ES,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,record,customer,feedback.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ES,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,the,amount,owed,by,the,customer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,allow,reservations,to,be,modified,without,having,to,reenter,all,the,customer,information.,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NNS,TO,VB,VBN,IN,VBG,TO,VB,PDT,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,,RS,,,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,generate,a,unique,confirmation,number,for,each,reservation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,JJ,NN,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,allows,modification,of,information,on,rooms,and,rates,,menu,items,and,prices,,user,profiles,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,NN,IN,NN,IN,NNS,CC,JJ,NN,NNS,CC,JJ,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,AS,,AS,,AM,AM,,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,the,hotel,occupancy,for,a,specified,period,of,time,(days;,including,past,,present,,and,future,dates).,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,NN,IN,DT,VBN,NN,IN,NN,NNS,VBG,NNP,NNP,CC,JJ,NN,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,ES,ES,,,,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostel,management,gives,on,idea,about,how,the,students,details,room,allocation,,mess,expenditure,are,maintained.,,,,,,,,,,,,,,,,,,,,,,,,
JJ,NN,VBZ,IN,NN,IN,WRB,DT,NNS,VBD,NN,NN,NNS,NN,VBP,VBN,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,,,,AM,AM,AM,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,,collects,and,store,the,student,details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,VBZ,CC,NN,DT,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
